year,state,name,event,notes
-551,魯,孔子,【生】,（一）
-548,齊,崔杼,弑其君立景公,
-548,吳,諸樊,伐楚傷射以薨,
-547,衛,殤公,見殺,
-547,衛,獻公,復入,
-545,魯,顏無繇,【生】,（二九）
-545,楚,康王,【薨】,
-544,齊,季札,來見晏嬰,
-544,鄭,季札,來見子產,
-544,吳,餘祭,守門閽殺餘祭,
-544,吳,季札,季札使諸侯,
-543,鄭,子產,爲政,
-543,蔡,太子(姬般),殺景公自立,
-542,魯,仲由（二九）,【生】,
-541,楚,令尹(羋/熊圍）,殺郟敖自立為靈王,
-539,齊,晏嬰,使晉見叔向,
-536,魯,閔損,【生】,（二九）
-536,鄭,閔損,鑄刑書,（一一）
-535,魯,昭公,如楚,
-535,魯,孟僖子,為相,
-534,陳,哀公,自殺,
-534,楚,棄疾,將兵定陳,
-532,魯,孔鯉,【生】,（二六）
-531,魯,孟懿子,【生】,（三）
-531,魯,南宮敬叔,,
-531,蔡,蔡靈侯((姬般),為楚（羋/熊棄疾）所殺,
-531,楚,羋/熊棄疾,殺蔡靈侯((姬般),
-529,陳,惠公,楚(平王)復立,
-529,楚,靈王,【自殺】,
-529,楚,平王(棄疾),立,
-529,楚,平王(棄疾),復陳蔡,
-525,魯,孔子,郯子來朝孔子見焉,
-525,魯,孔子,為委吏當在此年之前,（二）
-525,魯,原憲,【生】,（二九）
-522,魯,冉雍,,
-522,魯,冉求,,
-522,魯,商瞿,,
-522,魯,琴張,從孔子游或在此時或稍前,（三）
-551,鄭,子產,【卒】,（二一）
-551,吳,伍員,來奔,
-521,魯,顏囘,【生】,（二六）
-521,魯,宓不齊,,（二九）
-521,,高柴,,
-520,,端木賜,,
-519,,公西赤,,
-518,,孟僖子,【卒】,（三）
-518,,孟僖子,囑其二子師事孔子,（四）
-518,,有若,【生】,（二九）
-517,,三桓氏,攻公孫于齊,
-517,,孔子,適齊,（五一）
-516,,昭公,居鄆,
-515,,孔子,返魯或在此年或稍前,（六）
-515,,季扎,聘上國,
-515,,公子光(闔廬),殺僚自立,
-514,,昭公,處乾侯,
-513,,晉,鑄刑鼎,
-513,,澹臺滅明,【生】,（二九）
-510,,漆雕開,,
-510,,昭公,【卒】乾侯,
-507,,魏卜商,【生】,（二九）
-506,,言偃,,
-506,,晏嬰,【卒】是年或稍前,（五）
-506,,昭王,亡奔隨,
-506,,孫武,與蔡伐楚入郢,(七）
-505,,陽虎,執季桓子,（八）
-505,,曾參,【生】,（二九）
-505,,樊須,,
-505,,秦,救（楚）至吳去,
-505,,昭王,復入,
-503,,顓孫師,【生】,（二九）
-502,,三桓氏,攻陽虎,
-502,,陽虎,奔陽關,（一零）
-502,,公山不狃,自費召孔子,（九）
-502,,顏高,【卒】,（一七）
-501,,陽虎,奔齊,
-501,,孔子,仕魯為中都宰嗣為司寇,（一二）
-501,,駟歂,殺鄧析而用其竹刑,（一一）
-500,,定公,會齊侯夾谷,（一三）（一四）
-500,,孔子,定公會齊侯夾谷孔子相,（一三）（一四）
-500,,侯犯,以郡叛,
-498,,孔子,見信于季孫,
-498,,孔子,墮邱墮費將墮成弗克,13
-498,,仲由,為季氏宰,
-498,,季桓子,受女樂于齊,***
-498,,季桓子,歸魯女樂,15
-497,,孔子,去魯適衛,15
-497,,孔子,范氏中行氏與趙氏相攻,
-497,,孔子,來,15
-497,,蘧瑗,,16
-497,,史鰌,,16
-496,,衛侯,逐公叔戍,
-496,,孔子,過蒲,17
-496,,闔廬,伐越傷指【卒】,
-496,,允常,【卒】,6
-496,,勾踐,登基,***
-495,,邾隱公,來朝,29
-495,,子貢（端木賜）,觀焉,29
-494,,吳,來侵,
-494,,吳,伐蔡,
-494,,夫差,伐越遂入越,18
-494,,勾踐,栖會稽,18
-493,,靈公,【薨】,
-493,,孔子,去衛,"19,20"
-493,,昭侯,遷于州來,***
-493,,昭侯,納蒯聵于戚,
-492,,孔子,過宋,
-492,,孔子,至陳,
-491,,葉公(名諸梁),致蔡于負函,
-490,,齊公子陽生,來奔,
-490,,景工,【薨】,
-490,,景工,遣勾踐歸,
-489,,齊公子陽生,返齊宰我從,27
-489,,宰我,從齊公子陽生返齊,*** 27
-489,,田乞,殺晏孺子立陽生,
-489,,孔子,自楚返衛,24
-489,,吳,伐陳,
-489,,孔子,去陳,22
-489,,昭王,救陳【卒】于城父,
-489,,孔子,來負函就葉公,22，23
-489,,孔子,伐陳,
-488,,哀公,會吳于繒（鄫）,
-488,,子貢,時仕魯,29
-488,,子貢,會魯于繒（鄫）,
-487,,子貢,吳來伐,
-487,,有若,與於師,29
-487,,有若,伐魯,
-485,,悼公,被弑【卒】,
-485,,悼公,與魯伐齊,
-484,,冉有,為季氏宰率師與齊戰于郎,
-484,,季康子,召孔子,25
-484,,簡公,伐魯,
-484,,孔子,去衛返魯,
-484,,孔子,與魯敗齊艾陵,
-483,,孔鯉,【卒】,
-483,,孔伋,【生】當在此前后,26， 58
-483,,哀公,與吳會橐皋,
-483,,子貢,拒吳尋盟,29
-482,,哀公,與吳晉會黃池,
-482,,哀公,與魯晉會黃池,
-482,,哀公,與吳魯會黃池,
-481,,哀公,西狩獲麟,
-481,,顔回,【卒】,26
-481,,"小邾射(小邾國名,射人名）",以句繹來奔,
-481,,子路,義辭使命（左傳哀公14年）,***
-481,,田常,弑簡公,
-481,,宰我,【死】之,27
-480,,子服景伯,使齊,
-480,,子貢,為介，齊歸成,29
-480,,仲由,【死】,
-480,,高柴,去之魯,
-479,,孔子,【卒】,28，29，30
-479,,白公勝,作亂業公入楚白公【自殺】,
-479,,業公,白公勝作亂業公入楚白公【自殺】,
