year,state,name,event,notes
-370,魏,惠王,封公子魏緩,46， 緩為惠王弟， 惠王名罃
-370,魏,魏緩,受惠王封,46
-370,魏,韓趙,伐魏之城邑葵,46
-370,魏,惠王,敗鄴師邯鄲師于平陽,46， 緩：鄴師； 趙：邯鄲師
-370,韓,懿侯,與趙遷晉桓公于屯留,36
-370,趙,成侯,魏伐趙圍于濁陽,紀年
-370,燕,簡公,【卒】,134
-370,齊,桓公,趙伐齊取鄄,
-369,魏,王錯,出奔韓,66， 大夫王錯，忌讒吳起
-369,魏,惠王,敗韓于馬陵,134
-369,趙,成侯,中山築長城,世家
-369,齊,田壽,伐魏觀，觀降,紀年
-368,秦,秦子向,命為藍君,紀年
-368,韓,懿侯,城郉邱,紀年
-368,宋,惠施,【生】,125，生此時稍前
-368,宋,莊周,【生】,88，生此時稍後
-367,趙,成侯,與韓分周以為兩,世家
-366,魏,公子景賈,將伐鄭，韓明戰於陽，魏敗,紀年
-365,齊,桓公,弑其君母,70
-364,秦,獻公,與魏戰石門，斬首六萬，天子賀六國表,83
-364,魏,公子緩,如邯鄲,46
-364,越,寺區弟思,弑其君莽安，次無顓立,134，寺思，越大父，寺區之弟；無顓，越王名
-363,魏,惠王,伐趙，取列人，取肥,紀年
-362,秦,獻公,與魏戰少梁，虜魏將公孫痤,
-362,魏,-,四月甲寅徙都大梁,46
-362,魏,-,與趙榆次陽邑，會鄭釐侯于巫沙,46，榆次，陽邑皆地名
-362,趙,魏公孫痤,敗趙與韓于澮，取皮牢,
-362,趙,成侯,與韓昭侯遇上黨,世家
-361,秦,衛公孫鞅,自魏入秦,73
-361,宋,宋牼,【生】,122，當生此時前後
-360,周,惠公傑,【薨】,紀年
-360,魏,鄭釐侯,鄭來致地：平邱，戶牅，首垣諸邑，及鄭馳道。魏取軹道與鄭鹿,紀年
-359,秦,孝公,用衛鞅定變法之令,73
-359,秦,甘龍,TODO,73
-359,秦,杜摯,TODO,73
-359,魏,-,使龍賈築長城于西邊,紀年
-359,韓,-,取屯留尙子涅,36
-359,趙,-,與韓分晉，遷晉君於端氏,36
-359,楚,-,伐魏，決白馬，以水長垣之外,紀年
-358,魏,-,與鄭釐侯盟巫沙以釋宅陽之圍，歸釐與鄭,紀年
-358,齊,桓公,【卒】,70，84
-358,齊,匡章,【生】,94，生此時或稍前
-358,齊,鄒忌,見威王,84，74
-357,魏,魯共侯，宋桓侯，衛成侯，鄭釐侯,來朝,154，78，69
-357,齊,威王,立稷下宮招致逰士，當在此時前後,75，76
-357,齊,淳于髡,逰稷下,118
-356,秦,衛鞅,拜右庶長,
-356,韓,-,築長城自亥谷以南,紀年
-356,趙,-,與燕煇阿,
-356,越,無顓,【薨】,134
-355,秦,公子壯,帥師伐鄭，圍焦城不克,紀年
-355,秦,-,與魏會杜平,83
-355,韓,申不害,為相,77
-355,趙,-,伐衛取漆富丘城之,78
-355,齊,威王,及燕師戰于泃水，齊師遁,紀年
-354,秦,與魏戰元里取少梁,,
-354,魏,-,伐趙圍邯鄲,78
-354,魏,季梁,TODO,79
-354,魏,楊朱,TODO,80，81
-354,韓,-,朝魏于中陽,77
-354,韓,-,東周與鄭高都利,紀年
-354,齊,田期,伐魏東鄙戰於桂陽，魏敗,78
-354,宋,景㪨，衛公孫倉,會齊師，圍魏襄陵,78
-353,魏,-,以韓師敗諸侯，師于襄陵，齊侯使楚景舍來求成,77，78
-353,魏,-,拔邯鄲,78
-353,齊,-,敗魏桂陵,78
-352,秦,衛鞅,為大良造，伐魏安邑降之,46
-352,魏,-,晉取泫武濩澤,36
-351,秦,衛鞅,圍魏固陽降之,
-351,魏,-,歸趙邯鄲，與盟漳水上,78
-351,趙,慎到,【生】,137，當生此時前後
-351,齊,-,防以為長城,128
-351,齊,天駢,【生】,139，當生此時前後
-350,秦,-,自雍徙都咸陽,
-349,韓,韓姬,弑晉君,36
-349,趙,韓姬,奪晉君端氏徙處屯留,36
-348,韓,招侯,如秦,
-348,齊,陳仲,【生】,150，當生此時前後
-346,秦,衛鞅,太子犯法，衛鞅刑其傅公子虔,73
-346,楚,-,伐徐州,118
-345,魏,-,敗韓馬陵,紀年
-344,秦,少官,公子少官帥師會諸侯于逢澤,83
-344,魏,白圭,封于澮,82
-344,魏,-,會諸侯于逢澤,83
-344,齊,田肦,伐梁,84
-343,周,杜赫,TODO,55，85，163
-343,魏,穰疵,率師及鄭孔夜戰于梁赫，鄭師敗,84
-343,魏,惠施,遊梁,93，在此稍後
-343,楚,屈原,【生】,87
-343,齊,-,敗梁馬陵,84，86
-343,齊,田忌,以與鄒忌相悪奔楚孫臏從,85
-342,秦,衛鞅,伐魏虜公子卬,鞅傳
-342,魏,齊田肦,五月齊田肦伐魏東鄙，九月秦衛鞅伐魏西鄙，十月邯鄲伐魏北鄙，王攻衛鞅敗績,84
-342,魏,中山君,為相,54，146
-342,齊,田肦,及宋人伐魏東鄙圍平陽,紀年
-341,秦,衛鞅,封衛鞅於商十五邑，號曰商鞅,73
-341,魏,-,城濟陽,紀年
-340,魏,-,下邳遷於薛改名徐州,110
-340,宋,剔成,廢君自立稱元年,69
-339,魏,-,與秦戰岸門,
-339,趙,荀卿,【生】,103，當生此時稍前
-339,楚,鐸椒,TODO,67
-339,楚,莊周,TODO,88
-339,楚,沈尹華,TODO,89
-338,秦,商君,孝公卒，商君死，尸佼逃蜀,90
-338,宋,剔成,【卒】，弟偃嗣立,69，91
-337,韓,申不害,【卒】,71，77
-335,秦,-,拔韓宜陽,94
-335,齊,匡章,敗秦或在此年,94
-335,齊,孟子,遊齊與匡章遊當在此時稍前,94，98
-334,魏,-,與齊會徐州相王,92，齊魏會徐州，相約僭稱王
-334,魏,惠施,用事於魏,93
-334,韓,-,作高門,94
-334,燕,蘇秦,至燕（？）,95
-333,秦,公孫衍,為大良造,
-333,楚,-,伐齊敗之圍徐州,96
-333,燕,文侯,【卒】,97
-333,燕,文侯,齊伐燕取十城,97
-332,燕,易王,與魏伐趙,
-330,周,昭文君,資張儀入秦,107
-330,秦,-,魏獻河西地,107
-330,秦,張儀,初入秦應在此年或稍前,107
-329,秦,-,渡河取魏汾陰、皮氏，與魏會應,
-328,秦,張儀,相,
-328,秦,-,魏納上郡,
-328,宋,君偃,始稱王,99
-327,趙,韓擧,與齊戰死於桑邱,102
-327,宋,-,太丘社亡周鼎淪泗水下（？）,99
-326,韓,-,與趙圍襄陵,102
-325,秦,惠文王,四月始稱王,100
-325,韓,-,五月會梁王於巫沙,101，102
-325,韓,-,始稱王,101，103
-325,韓,-,十月朝梁,101，104
-325,齊,荀卿,來遊學當在此時或稍前,103
-324,魏,-,與齊韓會阿平,104
-324,宋,孟子,遊宋當在此時或稍前,98，110
-323,秦,張儀,會齊楚魏之大臣於齧桑,
-323,魏,犀首,約魏趙韓燕中山五國相王,105， 犀首，魏臣；相與稱王
-323,魏,-,會齊威王於鄄,104
-323,楚,-,敗魏襄陵,
-323,燕,易王,五十年始稱王,105
-323,齊,孟子,自宋過薛,110
-323,齊,孟子,歸魯之滕,111，112
-322,秦,-,韓魏太子來朝,本紀
-322,秦,-,伐魏曲沃平周取之,
-322,魏,惠施,去魏,107
-322,魏,張儀,相魏,107
-322,楚,惠施,自魏來,107
-322,魯,平公,立,106，112
-322,齊,田嬰,四月封田嬰於薛十月城薛,109
-322,宋,惠施,楚納惠施,108
-321,秦,田鳩,秦惠王時墨者,114，年序世次，腹䵍最前，田鳩次之，唐謝又次之
-321,秦,腹䵍,秦惠王時墨者,114，年序世次，腹䵍最前，田鳩次之，唐謝又次之
-321,秦,唐姑果,秦惠王時墨者,114，年序世次，腹䵍最前，田鳩次之，唐謝又次之
-321,秦,謝子,秦惠王時墨者,114，年序世次，腹䵍最前，田鳩次之，唐謝又次之
-321,魏,薛子嬰,來朝,紀年
-321,齊,孟子,在滕,
-321,齊,許行,遊滕當在此時,113
-321,齊,蘇秦,【卒】,95，或在此時
-320,魏,孟子,遊梁,115
-320,魏,中山公子牟,【生】,146，當生此時或稍前
-320,齊,威王,【卒】,74
-320,齊,蘇厲,侍燕質子在齊,95，蘇厲為蘇秦弟
-320,齊,蘇代,侍燕質子在燕,95，蘇代為蘇秦弟
-320,齊,荀子,遊燕當在此時或稍後,103
-319,魏,惠王,【卒】,115
-319,魏,惠施,返魏,116
-319,魏,張儀,去魏,116
-319,趙,公孫龍,【生】,"141,當在此時或稍後"
-319,齊,孟子,自魏來,117
-319,齊,鄒忌,【卒】,85
-319,齊,-,稷下學士復盛,75
-319,齊,淳于髡,TODO,75
-319,齊,田駢,TODO,75
-319,齊,環淵,TODO,75
-319,齊,王斗,TODO,75
-319,齊,尹文,TODO,75
-319,齊,蘇代,自燕使齊當在此時前後,95
-318,秦,-,五國約擊秦不勝而還,95
-318,魏,惠施,使楚,116
-318,魏,孟嘗君,初相魏當在此年或稍後,125
-318,齊,田忌,復歸,85
-318,齊,孫臏,【卒】,85，在前
-318,齊,蘇代,自齊使燕當在此年或明年,95
-318,滕,文公,【卒】,135，在是年或稍後
-317,秦,-,敗趙公子渴韓太子奐，斬首八萬,95
-317,秦,張儀,復相,95
-317,秦,義渠,襲敗秦於李帛,95
-317,魏,襄哀王,齊敗魏觀澤,95
-317,韓,-,秦敗韓脩魚，虜將申差,95
-317,趙,-,與韓魏共擊秦,95
-317,趙,-,齊敗趙觀澤,95
-317,齊,-,與宋敗魏趙於觀澤,95
-316,齊,-,讓國於相之子,95，齊相名為“之子”
-315,楚,屈原,為左徙當在此時或稍前,121
-315,齊,-,冬伐燕,120
-315,齊,匡章,為將,94
-314,秦,-,敗韓師於岸門,
-314,魏,惠施,使趙,116
-314,趙,-,立燕公子職,120
-314,齊,-,取燕，燕君噲、及太子、相之子皆死,120
-314,齊,蘇代，蘇厲,皆留齊,95
-313,楚,屈原,見疏作離騷當在此時或稍前,121
-313,楚,張儀,來楚,
-312,秦,-,敗楚屈丐取漢中,
-312,魏,-,秦王來見于蒲阪闗,紀年
-312,魏,-,四月越王使來獻乘舟,紀年
-312,魏,-,擊齊於濮贅子死章子走,94
-312,韓,-,與秦共攻楚,紀年
-312,韓,-,韓明率師伐襄丘,紀年
-312,楚,景翠,圍韓雍氏,紀年
-312,齊,孟子,去齊當在此時或稍後,122
-312,齊,-,王殺其王后,紀年
-312,齊,蘇代,在齊見陳軫,95
-312,宋,孟軻,孟軻宋鈃遇於石邱當在此年或稍前,122，123
-311,楚,張儀,復來,126
-311,楚,屈原,使齊返,
-310,魏,田需,【卒】,125，田需為魏相
-310,魏,惠施,【卒】,125，當在此年或稍前
-310,魏,張儀,【卒】,126，五月張儀卒
-310,趙,-,納孟姚，生子何,
-310,楚,蘇厲,在楚北見梁王,95
-310,楚,庶章,率師會魏於襄丘,紀年
-309,秦,-,初置丞相，樗里疾，甘茂為丞相,
-309,魏,-,河水溢酸棗郛,紀年
-308,秦,-,伐韓宜陽,本紀
-307,秦,-,拔宜陽，涉河，城武遂,
-307,秦,武王,【卒】,99，王卒於周
-307,魏,-,秦擊皮氏,紀年世家
-307,趙,-,初胡服,82
-307,楚,屈原,居漢北為三閭大夫當在此時或稍前,127
-307,齊,魯仲連,【生】,155，當生此時或稍後
-306,秦,甘茂,奔齊遇蘇代,95，128
-306,魏,-,城皮氏,紀年
-306,韓,-,秦復與韓武遂,世家
-306,韓,-,楚圍韓雍氏,95
-306,韓,蘇代,為齊使秦過韓,95
-306,趙,-,略中山胡地,世家
-306,趙,白圭,遊中山當在此時或稍後,82
-306,楚,-,圍韓雍氏,95
-305,魏,蘇代,拘於魏應在此稍後,95
-305,趙,-,伐中山，中山獻四邑以和,世家
-305,楚,-,迎婦於秦,161
-305,楚,-,還淵詹何,146
-304,楚,-,與秦盟黃棘，秦歸楚上庸,世家
-303,魏,-,秦拔魏蒲阪晉陽封谷,
-303,韓,-,秦取武遂,
-303,趙,-,攻中山,世家
-303,楚,-,齊韓魏伐楚，楚使太子質秦,
-302,魏,-,與秦會臨晉，復魏蒲阪,
-302,趙,-,命吏大夫奴遷于九原，又命將軍大夫適子戍吏皆貉服,82
-302,齊,公孫宏,使秦,129
-301,秦,-,會韓魏齊之師伐楚,
-301,秦,-,涇陽君為質於齊,95
-301,趙,-,伐中山，中山君奔齊,95
