year,state,name,event,notes
-478,魯,墨翟,【生】,31， 32
-478,楚,惠王,滅陳,
-478,楚,公孫寬,為司馬,
-475,魏,田子方,【生】,40
-475,趙,簡子,【卒】,33
-475,趙,襄子,立,33
-475,趙,襄子,滅代,33
-475,越,勾踐,圍吳,18
-474,魯,勾踐,越人始來,
-472,齊,平公夫人,【卒】,
-472,齊,冉有,來吊（季康子使）,
-471,魯,哀公,如越,
-470,魯,哀公,至自越,
-470,宋,衛出公,來奔,
-469,魯,叔孫舒,會越,
-469,魯,叔孫舒,納衛侯不克,
-469,魯,子貢,時仕衛,29
-469,齊,子貢,與鄭伐衛,
-469,晉,荀瑤,城宅陽,
-469,韓,荀瑤,與齊伐衛,
-468,魯,季康子,【卒】,35， 18
-468,魯,哀公,如越歸【卒】,35， 18
-468,魯,智子,居武城,35
-468,越,后庸,聘魯,35， 18
-468,越,后庸,徙都琅琊,35， 18‘
-465,越,勾踐,【卒】,18， 49
-465,越,衛悼公,【卒】于越,
-462,晉,荀瑤,城高粱,
-459,晉,荀瑤,伐中山,
-458,晉,智伯,與韓趙魏盡分范中行故地,36
-456,晉,韓龍,取盧氏城,
-455,晉,智伯,率韓魏之師攻趙,
-455,趙,襄子,奔晉陽,
-455,韓,鄭人,弑其君,61
-454,晉,智伯,圍晉陽,表誤
-453,趙,-,與韓魏共殺知伯盡幷其地,36
-452,晉,出公,奔楚,36
-449,越,不壽,見殺,49
-447,魯,顓孫師,【卒】,
-447,楚,-,滅蔡,
-446,魏,子夏,居西河,38， 39
-446,魏,田子方,魏文侯禮賢之,40
-446,魏,段干木,魏文侯禮賢之,40
-446,魏,魏成子,魏文侯禮賢之,40
-445,楚,-,滅杞,
-445,楚,-,至泗上,
-445,楚,公輸般,游楚當在此稍前,41
-444,楚,墨子,止楚攻宋當在此時或稍後,42
-444,楚,禽滑釐,與墨子弟子300人守宋,42， 62
-443,楚,言偃,【卒】,
-440,魏,-,始封鄴,46
-439,晉,燕成公,【卒】,43
-439,楚,墨子,獻書惠王不遇去楚至晚不出此年,42
-438,宋,墨子,仕宋見囚當在此稍後,44
-436,魯,曾參,【卒】,48
-436,魯,樂正子春,,48， 65
-434,晉,敬公,【卒】,36
-433,楚,-,遷都還郢,42
-431,楚,簡王,滅莒,
-425,魏,文侯,始稱侯,
-425,魏,子夏,年84,38
-425,趙,襄子,【卒】,
-424,魏,文侯,更元年,23， 43
-423,韓,韓武子,殺鄭幽公,
-422,宋,昭公,【卒】,45
-422,魏,子擊,【生】,46
-416,晉,幽公,【卒】,36
-416,魏,-,誅晉亂立烈公,36
-416,趙,-,滅泫氏,
-416,韓,-,都平陽,
-415,魯,曾申,,48
-415,魯,公儀休,,48
-415,魯,泄柳,,48
-415,魯,申詳,,48
-415,魯,子思,,48
-415,魯,墨子,,48
-415,趙,-,城平邑,134
-415,越,-,滅滕,49
-414,周,威公,始立為西周君,55
-414,周,寧越,威公師之,55
-414,楚,-,伐晉南鄙近於上洛,
-414,越,-,滅郯,49
-413,齊,-,伐晉毀黃城圍陽湖,
-413,魏,-,敗秦鄭下李克,40
-412,魯,吳起,什魯,50
-412,齊,-,伐魯莒及安陽,
-412,越,朱勾,【卒】,51，134
-411,魯,-,伐魯取一城,51，52
-411,魯,田莊子,【卒】,51，52
-411,魯,悼子,立,51，52
-409,魏,-,伐秦至鄭還,53
-409,魏,-,築洛陰邰陽,53
-409,魏,吳起,為魏將,53
-408,周,太史屠黍,由晉歸周,54
-408,齊,-,取魯郕,48
-408,魏,-,伐中山,54
-408,魏,樂羊,爲將,40
-408,韓,景侯,伐鄭取雍丘,
-408,鄭,鄭,成京,
-407,齊,-,伐衛取毋丘,
-407,鄭,鄭,敗韓于負黍,
-406,周,秦簡公,【卒】,
-406,齊,田悼子,【卒】,
-406,齊,公孫會,以廩丘叛于趙,56
-406,魏,-,滅中山,54
-406,魏,子擊,守中山,46
-406,魏,屈侯鮒,為傅,
-406,魏,李克,守中山在此後,40
-406,魏,吳起,守西河在此後,40
-406,魏,西門豹,守鄴或稍前,40
-405,周,秦敬公,元年,
-405,齊,宣公,【卒】,56
-405,齊,田和,始立,56
-405,齊,墨子,游齊當在此稍後,57
-405,魏,-,與韓趙伐齊入長城,57
-405,魏,翟璜,,40
-404,宋,悼公,【卒】,69
-403,周,-,三晉命邑為諸侯,43
-403,魏,-,見中山使者趙倉唐,46
-403,趙,-,始稱侯,43
-402,魯,子思,【卒】至晚在此年,58
-402,魏,-,召子擊,43，54，146，46
-402,魏,-,以中山封少子摯是爲中山侯,
-402,趙,-,更元年,43
-402,趙,公仲連,,40
-402,趙,牛畜,,40
-402,趙,荀欣,,40
-402,趙,徐越,,40
-402,楚,聲王,被盜殺,
-401,鄭,申不害,【生】,77
-400,齊,田午,【生】,66
-400,楚,-,三晉來伐,
-399,趙,中山武公,初立,43，54
-398,鄭,-,殺其相駟子陽,
-398,鄭,列禦寇,,59
