year,state,name,event,notes
-300,秦,昭襄王,破楚師殺景缺取新城,
-300,秦,樗里疾,【卒】,
-300,魏,薛侯,來會於釜丘,129
-300,魏,馮諼,,129
-300,楚,太子橫,質齊,
-300,楚,蘇厲,,95
-299,秦,白圭,游秦或在此時前後,82
-299,魏,汲冢紀年,止此,119
-299,趙,武靈王,傳國少子何自號主父,
-299,趙,龐煖,當【生】在此時稍後,157
-299,楚,懷王,入秦,
-299,楚,屈原,【卒】或在此前後,87
-299,齊,田文,入相秦,129
-299,宋,宋王偃,39年置太子爲王,130
-299,宋,兒說,,130
-299,宋,-,戮唐唐鞅當在此稍前,130
-298,秦,田文,免樓緩相,
-298,趙,惠文王,封公子勝為平原君,133
-298,楚,蘇厲,在楚,95
-298,齊,田文,歸相齊與韓魏共擊秦,95， 129
-298,齊,蘇代,在齊,95
-298,宋,仇赫,相宋,130
-298,宋,-,滅滕當在此時或稍後,135
-296,趙,李兌，公子成,殺公子章，不禮主父餓死沙丘,130
-296,趙,樂毅,去適魏,
-296,楚,懷王,【卒】于秦,
-296,楚,屈原,【卒】或在此前後,87
-295,秦,樓緩,免魏冉為丞相,
-295,秦,-,與·楚粟五萬石,
-295,魏,樂毅,使燕當在此時或稍後,
-295,燕,樂毅,來燕當在此時或稍後,
-294,秦,呂禮,亡奔齊,
-294,秦,蘇代,使燕當在此時或稍後,95
-294,秦,田甲,劫湣王,
-294,秦,田文,走,
-294,秦,湣王,重召田文,
-294,秦,魏子,,129
-294,秦,呂禮,,129
-293,秦,白起,敗韓魏于伊闕,
-292,秦,白起,攻魏取垣,
-292,秦,白起,攻楚區宛,
-292,秦,魏冉,免相,
-292,楚,-,迎歸于秦,
-292,燕,蘇代,自齊至當在此前後,95
-291,秦,魏冉,復相,冉傳
-291,秦,魏冉,取魏軹及鄧,本紀
-290,秦,-,魏入河東地400里,
-290,秦,-,以垣易魏蒲阪皮氏,
-290,魏,成陽君,朝秦,秦紀
-290,魏,白圭,【卒】當在此前後,82
-290,韓,劇辛,【生】當在此前後,157
-289,秦,-,擊魏取城大小61,
-289,韓,呂不韋,【生】當在此前後,159
-289,宋,莊周,【卒】當在此時或稍後,88
-289,宋,孟子,【卒】舊譜,63
-288,秦,-,10月為帝,
-288,秦,-,12月復爲王,
-288,秦,呂禮,來自歸,95
-288,韓,董叔,與魏伐宋得河陽于魏,世家
-288,齊,-,為東帝2月復爲王,95
-288,齊,蘇代,自燕來勸齊伐宋,95
-288,宋,-,宋王偃逐太子,130
-287,趙,李兌,約五國伐秦,95
-287,齊,蘇代,為齊見李兌勸定從約,95
-286,秦,魏冉,免,
-286,魏,孟嘗君,當在此稍前,129
-286,楚,荀卿,自齊來,136
-286,齊,-,滅宋于宋王偃52年,91
-286,齊,蘇代,在齊,95
-286,齊,-,殺執政司馬穰苴在此時或稍後,85，128
-286,齊,慎到,稷下諸儒當在此稍後,136， 137， 138， 139
-286,齊,接子,稷下諸儒當在此稍後,136， 137， 138， 139
-286,齊,田騈,稷下諸儒當在此稍後,136， 137， 138， 139
-286,齊,荀卿,稷下諸儒當在此稍後,136， 137， 138， 139
-286,齊,孟嘗君,去之魏當在此稍後,129
-285,秦,-,擊齊拔九城,
-285,趙,李兌,【卒】,95
-285,趙,樂毅,為相國,
-285,宋,-,使樂毅如趙說合從伐齊,95
-284,楚,-,取齊淮北,
-284,楚,荀卿,為楚蘭陵令或在此時稍後,140
-284,齊,湣王,【卒】于莒,128
-284,齊,王蠋,,139
-284,宋,湣王,離臨淄,
-284,宋,樂毅,以秦魏韓趙之師入齊至臨淄,
-283,周,蘇厲,見西周君,95
-283,秦,-,取魏安城,
-283,魏,孟嘗君,為秦兵至大梁求救于燕趙,129
-283,宋,公孫龍,說昭王以偃兵,141
-282,趙,-,秦拔我兩城,
-281,秦,魏冉,復相,
-281,韓,韓非,【生】,155
-281,趙,-,秦拔我石城,
-281,趙,魏冉,來相,
-281,楚,莊辛,去游趙,145
-281,楚,李說,【生】,155
-281,宋,蘇厲,【卒】,
-281,宋,蘇代,【卒】,95
-280,趙,-,與魏攻齊取麥丘,
-280,楚,-,與秦漢北及上庸地,
-279,趙,廉頗,將攻齊,
-279,趙,藺相如,從會秦于黽池,
-279,趙,公孫龍,與惠王論偃兵,142
-279,楚,-,秦拔鄢西陵,127
-279,齊,-,殺燕騎劫,
-279,宋,昭王,【卒】,
-279,宋,樂毅,奔趙,142
-279,宋,公孫龍,自燕入趙,142
-278,楚,-,秦拔郢燒夷陵,127
-278,楚,-,王亡走陳,127
-278,齊,荀卿,返齊為稷下老師,
-278,齊,稷下,復興,143
-278,宋,鄒衍,游燕,144
-277,趙,公子丹,置為太子,
-277,趙,莊辛,與趙王論劍,145
-277,楚,-,秦拔巫黔中,
-277,楚,莊辛,徵于趙,145
-276,魏,魏無忌,封爲信陵君,
-273,秦,白起,敗魏芒卯于華陽斬首15萬,
-273,魏,段干崇,請割地和秦,
-272,趙,趙豹,封爲平陽君,
-272,楚,熊完,質秦,
-272,楚,黃歇,侍熊完,
-271,秦,范睢,為客卿,
-270,趙,趙奢,秦圍韓閼與，救之且大破秦軍,
-266,秦,穰侯,被逐,
-266,秦,范睢,相,
-266,秦,魏牟,游秦,146
-265,秦,安國君,為太子,
-265,趙,平原君,相,133
-265,趙,平原君,如秦,147
-265,趙,虞卿,逃之魏,147
-265,趙,魏齊,逃之魏,147
-265,趙,孔穿,來趙,148
-265,趙,公孫龍,與孔穿辯于平原君所,148
-265,楚,-,虞卿來,132
-265,楚,田單,將趙師攻燕中人（地名），拔之,
-265,楚,荀卿,去齊,149
-264,秦,荀卿,游齊,149
-264,趙,惠文后,【卒】,
-264,趙,田單,相,
-264,齊,陳仲,【卒】,
-262,趙,-,受韓上黨,
-262,楚,黃歇,封春申君,
-261,趙,荀卿,自秦來,151
-261,楚,-,取魯徐州,153
