year,state,name,event,notes
-257,魏,信陵君,救趙,
,趙,-,邯鄲解圍,
,,公孫龍,勸平原君毋受封,
,,荀卿,議兵於王前當在此時前後,151
,楚,春申君,救趙,
-256,趙,鄒衍,齊使鄒衍過趙當在此時前後,152
,楚,-,滅魯,153，154
-255,秦,蔡澤,入秦代范雖相,
-252,趙,平原君,【卒】,世家
,,公孫龍,【卒】,141，152，當在此時前後
-251,趙,-,破燕軍殺燕將栗腹,
-250,5,廉頗,圍燕,
,,樂乘,以樂乘為武襄君,世家
,7,魯仲連,說燕聊城守將事當在此時,155
-249,2,呂不韋,為相,
,3,魏中山公子牟,【卒】,146，當在此時稍後
,5,武襄君,攻燕圍其國,世家
,7,君王后,【卒】,世家
-248,6,春申君,徙封於吳,
-247,2,李斯,遊秦為呂不韋舍人,李傳，156
,3,信陵君,率五國兵敗秦軍於河外,
-243,3,信陵君,【卒】,
-242,秦,蒙騖,取魏酸棗燕虛長平,本紀
,魏,-,魏相趙相會魯柯盟（？）,160
,趙,龐煖,敗殺燕將劇辛,157
,,鶡冠子,TODO,158
-241,趙,龐煖,將五國兵攻秦,世家
,楚,-,楚魏韓趙燕合從（縱）擊秦，楚為從長無功，楚東徙壽春,
-240,秦,呂不韋,賓客著書,159
,魏,孔子,順相（？）,159
-239,秦,成蟜,王弟長安君成蟜將軍擊趙，死留屯,本紀
,,嫪毐,封長信侯,
-238,秦,-,殺嫪毐,
,楚,李園,殺春申君,161
-237,秦,呂不韋,免相,159
,,-,下令逐客以李斯諫止,本紀
,,尉繚,大梁人尉繚來說,本紀，162
-235,秦,呂不韋,[卒】,
-234,韓,韓非,使秦,世家，156
-233,秦,韓非,【卒】,156，韓非死於秦
-232,燕,太子丹,質秦亡歸,
-229,韓,-,滅,
-228,趙,王遷,秦擼王遷,
,,公子嘉,自立未代王,
,楚,幽王,【卒】,
,,哀王,幽王卒，弟哀王立,
,,負芻,三月負芻殺哀王,
-227,秦,王剪,將擊燕,
,燕,太子丹,使荊軻刺秦王,
,,荊軻,刺秦,
-226,燕,-,秦拔燕薊得太子丹，王徙遼東,
-225,魏,王假,秦擼王假,
-224,魏,-,滅,
-223,楚,王負芻,秦擼王負芻,
-222,趙,代王嘉,秦擼代王嘉,
,楚,-,滅,
-221,秦,-,初幷天下，更號皇帝，李斯為廷尉，議去封建為郡縣，從之,
,趙,-,滅,
,齊,王建,秦擼王建,
,燕,-,滅,
-220,齊,-,滅,
-219,秦,始皇帝,東行郡縣，上鄒嶧山，立石與魯諸生議刻石頌秦德，封禪望祭山川之事，遂登泰山至琅琊，李斯為卿從行，還過彭城，使千人沒泗水求周鼎弗得,
-218,,始皇帝,登之罘刻石,
-215,,,之碣石，使燕人盧生求羡門高誓刻碣石門，又使韓終侯公石生求僊人不死之藥,163
,,蒙恬,將軍蒙恬北擊胡,
-214,,始皇帝,略取陸梁為桂陵象郡南海,
-213,,淳于越,博士淳于越議封建,
,,李斯,丞相李斯奏請焚書以吏為師，從之,
-212,,始皇帝,使御史案問諸生除犯禁者四百六十餘人，坑之咸陽，後益發謫徙邊,
-211,,始皇帝,使博士為僊真人詩,
-210,,始皇帝,出遊刻石會稽,
,,始皇帝,道崩沙丘,
,,胡亥,始皇少子胡亥立，是為二世,
-209,,二世皇帝,郡縣皆反，楚兵至，戯章邯，擊却之,
-208,,二世皇帝,誅丞相李斯,156
,,李斯,【卒】,156，秦二世誅丞相李斯
-207,,趙高,殺二世皇帝，立子嬰，子嬰刺殺趙高，諸侯入秦，子嬰降，見殺，秦亡,
