name,born_year,death_year,born_place,death_place
孔子,-551,-479,,
鄧析,-545,-501,,
仲由,-542,-480,,
孔鯉,-532,-483,,
冉求,-522,-462,,
顔回,-521,-481,,
宰我,-520,-481,,
端木賜,-520,-450,,
有若,-518,-457,,
漆雕開,-510,-450,,
卜商,-507,-420,,
言偃,-506,-455,,
曾參,-505,-436,,
顓孫師,-503,-450,,
子思,-483,-402,,
墨翟,-480,-390,,
曾申,-475,-405,,
申詳,-475,-405,,
田子方,-475,-400,,
禽華釐,-470,-400,,
段干木,-465,-395,,
李克,-455,-395,,
列禦寇,-450,-375,,
寧越,-445,-385,,
吳起,-440,-381,,
孟勝,-420,-381,,
告子,-420,-350,,
田襄子,-410,-355,,
申不害,-400,-337,,
楊朱,-395,-335,,
季梁,-395,-340,,
孟軻,-390,-338,,
商鞅,-390,-330,,
尸佼,-390,-315,,
許行,-390,-305,,
淳于髡,-385,-319,,
鄒忌,-385,-305,,
田忌,-385,-315,,
腹䵍,-385,-315,,
孫臏,-380,-320,,
子華子,-380,-320,,
鐸椒,-380,-320,,
白圭,-375,-290,,
彭蒙,-370,-310,,
莊周,-365,-290,,
季真,-360,-290,,
匡章,-360,-290,,
宋鈃,-360,-290,,
田鳩,-360,-300,,
環淵,-360,-280,,
慎到,-350,-275,,
田駢,-350,-275,,
接子,-350,-275,,
尹文,-350,-285,,
陳仲,-350,-260,,
詹何,-350,-270,,
屈原,-343,-299,,
荀況,-340,-245,,
莊辛,-325,-255,,
公孫龍,-320,-250,,
魏牟,-320,-245,,
孔穿,-312,-262,,
鄒衍,-305,-240,,
魯仲連,-305,-245,,
虞卿,-305,-235,,
鄒奭,-295,-230,,
龐煖,-295,-240,,
孔順,-293,-237,,
劇辛,-290,-242,,
呂不韋,-290,-235,,
韓非,-280,-233,,
李斯,-280,-208,,
尉繚,-270,-220,,
孔鮒,-264,-208,,
