year,state,name,event,notes
-551,魯,孔子,【生】,（一）
-548,齊,崔杼,弑其君立景公,
-548,吳,諸樊,伐楚傷射以薨,
-547,衛,殤公,見殺,
-547,衛,獻公,復入,
-545,魯,顏無繇,【生】,（二九）
-545,楚,康王,【薨】,
-544,齊,季札,來見晏嬰,
-544,鄭,,來見子產,
-544,吳,餘祭,守門閽殺餘祭,
-544,,季札,季札使諸侯,
-543,鄭,子產,爲政,
-543,蔡,太子(姬般),殺景公自立,
-542,魯,仲由（二九）,【生】,
-541,楚,令尹(羋/熊圍）,殺郟敖自立為靈王,
-539,齊,晏嬰,使晉見叔向,
-536,魯,閔損,【生】,（二九）
,鄭,,鑄刑書,（一一）
-535,魯,昭公,如楚,
,,孟僖子,為相,
-534,陳,哀公,自殺,
,楚,棄疾,將兵定陳,
-532,魯,孔鯉,【生】,（二六）
-531,,孟懿子,【生】,（三）
,,南宮敬叔,,
,蔡,蔡靈侯((姬般),為楚（羋/熊棄疾）所殺,
,楚,羋/熊棄疾,殺蔡靈侯((姬般),
-529,陳,惠公,楚(平王)復立,
,楚,靈王,【自殺】,
,,平王(棄疾),立,
,,,復陳蔡,
-525,魯,孔子,郯子來朝孔子見焉,
,,,為委吏當在此年之前,（二）
,,原憲,【生】,（二九）
-522,,冉雍,,
,,冉求,,
,,商瞿,,
,,琴張,從孔子游或在此時或稍前,（三）
-551,鄭,子產,【卒】,（二一）
,吳,伍員,來奔,
-521,魯,顏囘,【生】,（二六）
,,宓不齊,,（二九）
,4,高柴,,
-520,,端木賜,,
-519,2,公西赤,,
-518,,孟僖子,【卒】,（三）
,,,囑其二子師事孔子,（四）
,,有若,【生】,（二九）
-517,,三桓氏,攻公孫于齊,
,,孔子,適齊,（五一）
-516,,昭公,居鄆,
-515,,孔子,返魯或在此年或稍前,（六）
,10,季扎,聘上國,
,,公子光(闔廬),殺僚自立,
-514,2,昭公,處乾侯,
-513,,晉,鑄刑鼎,
,,澹臺滅明,【生】,（二九）
-510,,漆雕開,,
,,昭公,【卒】乾侯,
-507,,魏卜商,【生】,（二九）
-506,,言偃,,
,3,晏嬰,【卒】是年或稍前,（五）
,9,昭王,亡奔隨,
,10,孫武,與蔡伐楚入郢,(七）
-505,2,陽虎,執季桓子,（八）
,,曾參,【生】,（二九）
,,樊須,,
,9,秦,救（楚）至吳去,
,,昭王,復入,
-503,2,顓孫師,【生】,（二九）
-502,,三桓氏,攻陽虎,
,,陽虎,奔陽關,（一零）
,,公山不狃,自費召孔子,（九）
,,顏高,【卒】,（一七）
-501,,陽虎,奔齊,
,,孔子,仕魯為中都宰嗣為司寇,（一二）
,6,駟歂,殺鄧析而用其竹刑,（一一）
-500,2,定公,會齊侯夾谷,（一三）（一四）
,,孔子,定公會齊侯夾谷孔子相,（一三）（一四）
,,侯犯,以郡叛,
-498,,孔子,見信于季孫,
,,,墮邱墮費將墮成弗克,13
,,仲由,為季氏宰,
,,季桓子,受女樂于齊,***
,3,,歸魯女樂,15
-497,2,孔子,去魯適衛,15
,11(晉）,,范氏中行氏與趙氏相攻,
,4,孔子,來,15
,,蘧瑗,,16
,,史鰌,,16
-496,,衛侯,逐公叔戍,
,,孔子,過蒲,17
,10,闔廬,伐越傷指【卒】,
,12(越),允常,【卒】,6
,,勾踐,登基,***
-495,2,邾隱公,來朝,29
,,子貢（端木賜）,觀焉,29
-494,7,吳,來侵,
,9,,伐蔡,
,10,夫差,伐越遂入越,18
,12,勾踐,栖會稽,18
-493,4,靈公,【薨】,
,4,孔子,去衛,"19,20"
,8,昭侯,遷于州來,***
,11,,納蒯聵于戚,
-492,5,孔子,過宋,
,,,至陳,
-491,9,葉公(名諸梁),致蔡于負函,
-490,2,齊公子陽生,來奔,
,3,景工,【薨】,
,10,,遣勾踐歸,
-489,2,齊公子陽生,返齊宰我從,27
,,宰我,從齊公子陽生返齊,*** 27
,3,田乞,殺晏孺子立陽生,
,4,孔子,自楚返衛,24
,7,吳,伐陳,
,,孔子,去陳,22
,9,昭王,救陳【卒】于城父,
,,孔子,來負函就葉公,22，23
,10,,伐陳,
-488,2,哀公,會吳于繒（鄫）,
,,子貢,時仕魯,29
,10,,會魯于繒（鄫）,
-487,2,,吳來伐,
,,有若,與於師,29
,10,,伐魯,
-485,3,悼公,被弑【卒】,
,10,,與魯伐齊,
-484,2,冉有,為季氏宰率師與齊戰于郎,
,,季康子,召孔子,25
,3,簡公,伐魯,
,4,孔子,去衛返魯,
,10,,與魯敗齊艾陵,
-483,2,孔鯉,【卒】,
,,孔伋,【生】當在此前后,26， 58
,,哀公,與吳會橐皋,
,,子貢,拒吳尋盟,29
-482,,哀公,與吳晉會黃池,
,10,,與魯晉會黃池,
,11,,與吳魯會黃池,
-481,2,哀公,西狩獲麟,
,,顔回,【卒】,26
,,"小邾射(小邾國名,射人名）",以句繹來奔,
,,子路,義辭使命（左傳哀公14年）,***
,3,田常,弑簡公,
,,宰我,【死】之,27
-480,2,子服景伯,使齊,
,,子貢,為介，齊歸成,29
,4,仲由,【死】,
,,高柴,去之魯,
-479,2,孔子,【卒】,28，29，30
,9,白公勝,作亂業公入楚白公【自殺】,
,,業公,白公勝作亂業公入楚白公【自殺】,
