year,state,name,event,notes
-370,魏,惠王,封公子魏緩,46， 緩為惠王弟， 惠王名罃
,魏,魏緩,受惠王封,46
,魏,韓趙,伐魏之城邑葵,46
,魏,惠王,敗鄴師邯鄲師于平陽,46， 緩：鄴師； 趙：邯鄲師
,韓,懿侯,與趙遷晉桓公于屯留,36
,趙,成侯,魏伐趙圍于濁陽,紀年
,燕,簡公,【卒】,134
,齊,桓公,趙伐齊取鄄,
-369,魏,王錯,出奔韓,66， 大夫王錯，忌讒吳起
,魏,惠王,敗韓于馬陵,134
,趙,成侯,中山築長城,世家
,齊,田壽,伐魏觀，觀降,紀年
-368,秦,秦子向,命為藍君,紀年
,韓,懿侯,城郉邱,紀年
,宋,惠施,【生】,125，生此時稍前
,宋,莊周,【生】,88，生此時稍後
-367,趙,成侯,與韓分周以為兩,世家
-366,魏,公子景賈,將伐鄭，韓明戰於陽，魏敗,紀年
-365,齊,桓公,弑其君母,70
-364,秦,獻公,與魏戰石門，斬首六萬，天子賀六國表,83
,魏,公子緩,如邯鄲,46
,越,寺區弟思,弑其君莽安，次無顓立,134，寺思，越大父，寺區之弟；無顓，越王名
-363,魏,惠王,伐趙，取列人，取肥,紀年
-362,秦,獻公,與魏戰少梁，虜魏將公孫痤,
,魏,-,四月甲寅徙都大梁,46
,魏,-,與趙榆次陽邑，會鄭釐侯于巫沙,46，榆次，陽邑皆地名
,趙,魏公孫痤,敗趙與韓于澮，取皮牢,
,趙,成侯,與韓昭侯遇上黨,世家
-361,秦,衛公孫鞅,自魏入秦,73
,宋,宋牼,【生】,122，當生此時前後
-360,周,惠公傑,【薨】,紀年
,魏,鄭釐侯,鄭來致地：平邱，戶牅，首垣諸邑，及鄭馳道。魏取軹道與鄭鹿,紀年
-359,秦,孝公,用衛鞅定變法之令,73
,,甘龍,TODO,73
,,杜摯,TODO,73
,魏,-,使龍賈築長城于西邊,紀年
,韓,-,取屯留尙子涅,36
,趙,-,與韓分晉，遷晉君於端氏,36
