year,state,name,event,notes
-478,2,墨翟,【生】,31， 32
,10,惠王,滅陳,
,,公孫寬,為司馬,
-475,6,田子方,【生】,40
,7,簡子,【卒】,33
,,襄子,立,33
,,,滅代,33
,11,勾踐,圍吳,18
-474,2,,越人始來,
-472,3,平公夫人,【卒】,
,,冉有,來吊（季康子使）,
-471,2,哀公,如越,
-470,,,至自越,
,4,衛出公,來奔,
-469,2,叔孫舒,會越,
,,,納衛侯不克,
,,子貢,時仕衛,29
,3,,與鄭伐衛,
,5,荀瑤,城宅陽,
,8,,與齊伐衛,
-468,2,季康子,【卒】,35， 18
,,哀公,如越歸【卒】,35， 18
,,智子,居武城,35
,11,后庸,聘魯,35， 18
,,,徙都琅琊,35， 18‘
-465,11,勾踐,【卒】,18， 49
,,衛悼公,【卒】于越,
-462,5,荀瑤,城高粱,
-459,,,伐中山,
-458,,智伯,與韓趙魏盡分范中行故地,36
-456,,韓龍,取盧氏城,
-455,,智伯,率韓魏之師攻趙,
,7,襄子,奔晉陽,
,8,鄭人,弑其君,61
-454,5,智伯,圍晉陽,表誤
-453,7,-,與韓魏共殺知伯盡幷其地,36
-452,5,出公,奔楚,36
-449,11,不壽,見殺,49
-447,2,顓孫師,【卒】,
,10,-,滅蔡,
-446,6,子夏,居西河,38， 39
,,田子方,魏文侯禮賢之,40
,,段干木,魏文侯禮賢之,40
,,魏成子,魏文侯禮賢之,40
-445,10,-,滅杞,
,,-,至泗上,
,,公輸般,游楚當在此稍前,41
-444,,墨子,止楚攻宋當在此時或稍後,42
,,禽滑釐,與墨子弟子300人守宋,42， 62
-443,,言偃,【卒】,
-440,6,-,始封鄴,46
-439,5,燕成公,【卒】,43
,10,墨子,獻書惠王不遇去楚至晚不出此年,42
-438,4,,仕宋見囚當在此稍後,44
-436,2,曾參,【卒】,48
,,樂正子春,,48， 65
-434,5,敬公,【卒】,36
-433,10,-,遷都還郢,42
-431,,簡王,滅莒,
-425,6,文侯,始稱侯,
,,子夏,年84,38
,7,襄子,【卒】,
-424,6,文侯,更元年,23， 43
-423,8,韓武子,殺鄭幽公,
-422,4,昭公,【卒】,45
,6,子擊,【生】,46
-416,5,幽公,【卒】,36
,6,-,誅晉亂立烈公,36
,7,-,滅泫氏,
,8,-,都平陽,
-415,2,曾申,,48
,,公儀休,,48
,,泄柳,,48
,,申詳,,48
,,子思,,48
,,墨子,,48
,7,-,城平邑,134
,11,-,滅滕,49
-414,1,威公,始立為西周君,55
,,寧越,威公師之,55
,10,-,伐晉南鄙近於上洛,
,11,-,滅郯,49
-413,3,-,伐晉毀黃城圍陽湖,
,6,-,敗秦鄭下李克,40
-412,2,吳起,什魯,50
,3,-,伐魯莒及安陽,
,11,朱勾,【卒】,51，134
-411,2,-,伐魯取一城,51，52
,,田莊子,【卒】,51，52
,,悼子,立,51，52
-409,6,-,伐秦至鄭還,53
,,-,築洛陰邰陽,53
,,吳起,為魏將,53
-408,1,太史屠黍,由晉歸周,54
,3,-,取魯郕,48
,6,-,伐中山,54
,,樂羊,爲將,40
,8,景侯,伐鄭取雍丘,
,9,鄭,成京,
-407,3,-,伐衛取毋丘,
,9,鄭,敗韓于負黍,
-406,1,秦簡公,【卒】,
,3,田悼子,【卒】,
,,公孫會,以廩丘叛于趙,56
,6,-,滅中山,54
,,子擊,守中山,46
,,屈侯鮒,為傅,
,,李克,守中山在此後,40
,,吳起,守西河在此後,40
,,西門豹,守鄴或稍前,40
-405,1,秦敬公,元年,
,3,宣公,【卒】,56
,,田和,始立,56
,,墨子,游齊當在此稍後,57
,6,-,與韓趙伐齊入長城,57
,,翟璜,,40
-404,4,悼公,【卒】,69
-403,1,-,三晉命邑為諸侯,43
,6,-,見中山使者趙倉唐,46
,7,-,始稱侯,43
-402,2,子思,【卒】至晚在此年,58
,6,-,召子擊,43，54，146，46
,,-,以中山封少子摯是爲中山侯,
,7,-,更元年,43
,,公仲連,,40
,,牛畜,,40
,,荀欣,,40
,,徐越,,40
,10,聲王,被盜殺,
-401,9,申不害,【生】,77
-400,3,田午,【生】,66
,10,-,三晉來伐,
-399,7,中山武公,初立,43，54
-398,9,-,殺其相駟子陽,
,,列禦寇,,59
,10,-,伐鄭,
-397,6,文侯,【卒】,60
,8,聶政,刺殺韓相俠累,71
-396,9,子陽之徒,弑繻公,
,,繻公,【卒】,
-394,12,秦敬公,【卒】,
,3,-,伐魯取最,
,9,-,負黍反韓,
-393,10,-,伐韓取負黍,
,,墨子,與魯陽文君論伐鄭,61
-392,,,【卒】當在此時前後,31，61，62
-391,3,田和,遷康公于海上,67
,10,-,敗于三晉,
-390,2,-,敗齊平陸,
,5,烈公,【卒】,36
,6,衛鞅,當【生】于此時前後,73
-389,2,孟子,當【生】于此時稍後,63
-388,6,-,伐齊至靈丘,60
,,吳起,將,60
-387,3,田和,會魏侯于卓澤,64
-386,,,立為侯,64
,,南郭子綦,,59
,6,-,城洛陰及安邑王垣,46
,,-,襲邯鄲不勝,43
,7,-,始都邯鄲,78
,,公子朔,為亂不勝奔魏,43
-385,3,田和,【卒】,64
,8,-,伐宋到彭城執其君,99
-384,3,田剡,立,65
,,鄒忌,當【生】此時前後,84，118
,,淳于髡,當【生】此時前後,84，118
,6,吳起,奔楚當在此時前後,66
,10,,自魏來奔,
-383,2,繆公,【卒】,47
-381,4,休公,【卒】,
,10,悼王,【卒】,66，67
,,吳起,楚人殺之,66，67
,,孟勝,,68
,,田襄子,,68
-380,,沈尹華,當【生】此時前後,89
-379,3,康公,【卒】,
,11,-,遷于吳,118
-376,3,田午,弑君剡自立,70
,8,哀侯,滅鄭入于鄭,71
,11,諸咎,弑君,
,,翳粵,殺諸咎,
,,孚錯枝,吳人立爲君,
-374,1,太史儋,入秦見獻公,
,12,-,太史儋入見,
-375,5,-,邑韓哀侯于鄭,
,8,山堅,弑其君哀侯,71
,,懿侯,立,
-371,6,-,伐楚取魯陽,
,,武侯,【卒】,
